input_file,n,si,ti
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,1,13.145,
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,2,12.717,6.361
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,3,12.157,6.287
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,4,11.493,6.323
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,5,11.009,6.269
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,6,10.648,6.373
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,7,10.266,6.429
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,8,9.839,6.338
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,9,9.441,6.538
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,10,9.177,6.66
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,11,8.735,6.735
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,12,8.186,6.711
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,13,7.579,6.59
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,14,7.062,6.494
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,15,6.679,6.553
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,16,6.273,6.423
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,17,5.862,6.303
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,18,5.552,6.388
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,19,5.39,6.417
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,20,5.386,6.321
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,21,5.246,6.263
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,22,5.106,6.369
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,23,5.01,6.329
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,24,4.915,6.188
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,25,5.223,6.334
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,26,5.5,6.223
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,27,5.603,6.143
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,28,5.797,6.437
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,29,5.999,6.421
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,30,6.049,6.419
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,31,5.981,6.227
NETFLIX_ElFuente_1920x1080_14296frames_2997fps_008182_008313.y4m,32,5.867,6.025
