POC, E, h, epsilon, L, avgU, energyU, avgV, energyV
 0, 75, 0, 0, 93, 121, 33, 133, 14
1, 76, 20.4476, 0, 93, 121, 33, 133, 14
2, 76, 20.2488, 0, 93, 121, 33, 133, 14
3, 76, 19.7667, 0, 93, 121, 33, 133, 14
4, 76, 20.7861, 0, 93, 121, 33, 133, 14
5, 77, 21.7957, 0, 93, 121, 34, 133, 14
6, 77, 19.2365, 0, 93, 121, 34, 133, 14
7, 77, 18.7744, 0, 93, 121, 34, 133, 14
8, 77, 19.1357, 0, 93, 121, 34, 133, 14
9, 77, 20.1943, 0, 93, 121, 34, 133, 14
10, 77, 20.6886, 0, 93, 121, 34, 133, 14
11, 77, 20.09, 0, 93, 121, 34, 133, 14
12, 78, 20.4335, 0, 93, 121, 34, 133, 14
13, 78, 19.9285, 0, 93, 121, 34, 133, 14
14, 78, 19.1316, 0, 93, 121, 34, 133, 14
15, 77, 18.3696, 0, 93, 121, 33, 133, 14
16, 77, 17.5618, 0, 93, 121, 34, 133, 14
17, 78, 18.4052, 0, 93, 121, 34, 133, 14
18, 79, 19.9687, 0, 93, 121, 34, 133, 14
19, 79, 20.102, 0, 93, 121, 34, 133, 14
20, 80, 23.9942, 0, 94, 121, 35, 133, 14
21, 80, 25.3667, 0, 94, 121, 35, 133, 14
22, 80, 25.2267, 0, 94, 121, 35, 133, 14
23, 80, 29.024, 0, 94, 121, 35, 133, 14
24, 79, 31.5136, 0, 94, 121, 34, 133, 14
25, 78, 31.2555, 0, 93, 121, 34, 133, 14
26, 78, 31.1594, 0, 93, 121, 34, 133, 14
27, 78, 32.2154, 0, 93, 121, 34, 133, 14
28, 78, 34.517, 0, 94, 121, 34, 133, 15
29, 77, 39.2973, 0, 94, 121, 34, 133, 15
30, 77, 38.5576, 0, 94, 121, 34, 133, 15
31, 77, 42.3073, 0, 94, 121, 33, 133, 14
32, 78, 43.1085, 0, 94, 121, 34, 133, 14
33, 78, 42.0523, 0, 94, 121, 34, 133, 15
34, 78, 40.5324, 0, 94, 121, 34, 133, 15
35, 77, 46.4404, 0, 94, 121, 34, 133, 15
36, 77, 48.9092, 0, 94, 121, 33, 133, 15
37, 77, 49.8814, 0, 94, 121, 33, 133, 15
38, 76, 48.9419, 0, 94, 121, 33, 133, 15
39, 76, 49.6409, 0, 94, 121, 33, 133, 15
40, 75, 48.4716, 0, 95, 121, 32, 133, 15
41, 74, 50.301, 0, 95, 121, 32, 133, 15
42, 74, 48.9107, 0, 96, 121, 32, 133, 15
43, 74, 48.7204, 0, 96, 121, 32, 133, 15
44, 74, 48.2892, 0, 97, 121, 32, 133, 15
45, 73, 47.2773, 0, 97, 121, 32, 133, 15
46, 73, 46.9517, 0, 97, 121, 31, 133, 15
47, 72, 49.3288, 0, 98, 121, 31, 133, 15
48, 71, 51.3942, 0, 98, 121, 30, 133, 15
