input_file,si,ti,n
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,1
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,2
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,3
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,4
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,5
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,6
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,7
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,8
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,9
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,10
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,11
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,12
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,13
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,14
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,15
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,16
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,17
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,18
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,19
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,20
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,21
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,22
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,23
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,24
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,25
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,26
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,27
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,28
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,29
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,30
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,31
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,32
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,33
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,34
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,35
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,36
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,37
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,38
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,39
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,40
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,41
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,42
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,43
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,44
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,45
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,46
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,47
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,48
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,49
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,50
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,51
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,52
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,53
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,54
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,55
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,56
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,57
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,58
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,59
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,60
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,61
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,62
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,63
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,64
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,65
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,66
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,67
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,68
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,69
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,70
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,71
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,72
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,73
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,74
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,75
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,76
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,77
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,78
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,79
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,80
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,81
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,82
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,83
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,84
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,85
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,86
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,87
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,88
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,89
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,90
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,91
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,92
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,93
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,94
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,95
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,96
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,97
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,98
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,99
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,100
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,101
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,102
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,103
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_HDR10.mp4,0.0,0.0,104
