input_file,si,ti,n
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,1
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,2
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,3
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,4
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,5
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,6
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,7
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,8
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,9
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,10
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,11
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,12
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,13
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,14
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,15
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,16
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,17
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,18
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,19
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,20
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,21
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,22
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,23
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,24
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,25
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,26
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,27
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,28
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,29
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,30
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,31
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,32
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,33
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,34
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,35
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,36
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,37
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,38
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,39
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,40
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,41
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,42
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,43
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,44
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,45
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,46
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,47
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,48
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,49
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,50
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,51
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,52
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,53
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,54
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,55
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,56
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,57
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,58
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,59
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,0.0,0.0,60
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.579,53.798,61
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.687,2.934,62
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.424,3.144,63
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.647,2.325,64
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.597,2.572,65
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.411,2.543,66
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.533,2.306,67
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.353,3.27,68
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.419,2.025,69
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.277,2.782,70
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.044,2.709,71
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.119,2.414,72
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.999,2.98,73
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.036,2.177,74
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.893,2.736,75
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.73,2.489,76
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.787,2.438,77
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.721,2.919,78
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.765,2.078,79
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.72,2.551,80
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.611,2.559,81
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.664,2.449,82
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.6,2.844,83
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.641,2.168,84
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.601,2.725,85
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.46,2.659,86
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.517,2.463,87
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.379,3.011,88
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.417,2.17,89
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.314,2.996,90
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.227,2.778,91
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.304,2.579,92
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.341,3.122,93
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.405,2.168,94
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.413,2.609,95
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.376,2.639,96
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.481,3.118,97
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.589,3.678,98
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.685,2.7,99
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.775,2.995,100
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.847,3.037,101
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.897,2.483,102
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.881,2.927,103
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.995,2.345,104
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.981,3.361,105
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.825,3.324,106
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.951,3.145,107
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.763,3.712,108
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.878,2.233,109
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,31.915,2.77,110
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.003,2.826,111
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.175,2.409,112
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.315,2.967,113
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.439,2.123,114
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.539,2.613,115
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.676,2.655,116
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.858,2.437,117
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,32.993,2.895,118
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,33.198,2.188,119
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,33.246,2.747,120
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,34.229,3.753,121
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,34.017,2.606,122
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,34.275,2.479,123
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,34.315,2.402,124
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,34.541,2.285,125
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,34.649,2.505,126
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,34.817,2.196,127
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,34.917,2.63,128
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,35.059,2.199,129
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,35.165,2.671,130
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,35.376,2.499,131
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,35.549,2.278,132
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,35.75,2.88,133
/Volumes/Data/Netflix/Meridian_3840x2160_5994fps_SDR.mp4,35.873,1.988,134
