input_file,si,ti,n
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.875,0.0,1
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.632,0.436,2
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.776,0.305,3
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.784,0.137,4
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.785,0.159,5
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.788,0.127,6
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.789,0.117,7
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.795,0.106,8
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.797,0.124,9
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.814,0.198,10
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.835,0.278,11
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.863,0.304,12
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.859,0.186,13
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.86,0.161,14
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.86,0.147,15
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.866,0.17,16
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.868,0.199,17
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.876,0.224,18
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.892,0.245,19
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.913,0.299,20
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,0.912,0.234,21
