input_file,n,si,ti
Sparks_4096x2160_5994fps_SDR.mp4,1,0.0,
Sparks_4096x2160_5994fps_SDR.mp4,2,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,3,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,4,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,5,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,6,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,7,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,8,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,9,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,10,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,11,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,12,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,13,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,14,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,15,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,16,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,17,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,18,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,19,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,20,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,21,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,22,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,23,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,24,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,25,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,26,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,27,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,28,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,29,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,30,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,31,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,32,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,33,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,34,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,35,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,36,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,37,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,38,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,39,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,40,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,41,0.0,0.0
Sparks_4096x2160_5994fps_SDR.mp4,42,0.0,0.0
