input_file,si,ti,n
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,1
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,2
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,3
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,4
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,5
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,6
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,7
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,8
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,9
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,10
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,11
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,12
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,13
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,14
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,15
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,16
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,17
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,18
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,19
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,20
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,21
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,22
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,23
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,24
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,25
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,26
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,27
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,28
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,29
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,30
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,31
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,32
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,33
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,34
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,35
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_SDR.mp4,0.0,0.0,36
