input_file,n,si,ti
Meridian_3840x2160_5994fps_SDR.mp4,1,0.0,
Meridian_3840x2160_5994fps_SDR.mp4,2,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,3,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,4,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,5,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,6,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,7,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,8,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,9,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,10,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,11,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,12,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,13,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,14,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,15,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,16,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,17,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,18,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,19,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,20,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,21,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,22,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,23,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,24,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,25,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,26,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,27,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,28,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,29,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,30,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,31,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,32,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,33,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,34,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,35,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,36,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,37,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,38,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,39,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,40,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,41,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,42,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,43,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,44,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,45,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,46,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,47,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,48,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,49,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,50,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,51,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,52,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,53,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,54,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,55,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,56,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,57,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,58,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,59,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,60,0.0,0.0
Meridian_3840x2160_5994fps_SDR.mp4,61,15.274,25.976
Meridian_3840x2160_5994fps_SDR.mp4,62,15.339,1.577
Meridian_3840x2160_5994fps_SDR.mp4,63,15.202,1.685
Meridian_3840x2160_5994fps_SDR.mp4,64,15.315,1.294
Meridian_3840x2160_5994fps_SDR.mp4,65,15.29,1.454
Meridian_3840x2160_5994fps_SDR.mp4,66,15.186,1.428
Meridian_3840x2160_5994fps_SDR.mp4,67,15.263,1.314
Meridian_3840x2160_5994fps_SDR.mp4,68,15.197,1.771
Meridian_3840x2160_5994fps_SDR.mp4,69,15.234,1.172
Meridian_3840x2160_5994fps_SDR.mp4,70,15.17,1.537
Meridian_3840x2160_5994fps_SDR.mp4,71,15.04,1.5
Meridian_3840x2160_5994fps_SDR.mp4,72,15.082,1.366
Meridian_3840x2160_5994fps_SDR.mp4,73,15.006,1.642
Meridian_3840x2160_5994fps_SDR.mp4,74,15.032,1.231
Meridian_3840x2160_5994fps_SDR.mp4,75,14.961,1.509
Meridian_3840x2160_5994fps_SDR.mp4,76,14.873,1.387
Meridian_3840x2160_5994fps_SDR.mp4,77,14.917,1.374
Meridian_3840x2160_5994fps_SDR.mp4,78,14.903,1.613
Meridian_3840x2160_5994fps_SDR.mp4,79,14.932,1.199
Meridian_3840x2160_5994fps_SDR.mp4,80,14.92,1.435
Meridian_3840x2160_5994fps_SDR.mp4,81,14.86,1.443
Meridian_3840x2160_5994fps_SDR.mp4,82,14.9,1.38
Meridian_3840x2160_5994fps_SDR.mp4,83,14.864,1.587
Meridian_3840x2160_5994fps_SDR.mp4,84,14.895,1.253
Meridian_3840x2160_5994fps_SDR.mp4,85,14.872,1.532
Meridian_3840x2160_5994fps_SDR.mp4,86,14.788,1.495
Meridian_3840x2160_5994fps_SDR.mp4,87,14.835,1.395
Meridian_3840x2160_5994fps_SDR.mp4,88,14.772,1.665
Meridian_3840x2160_5994fps_SDR.mp4,89,14.798,1.247
Meridian_3840x2160_5994fps_SDR.mp4,90,14.75,1.635
Meridian_3840x2160_5994fps_SDR.mp4,91,14.687,1.531
Meridian_3840x2160_5994fps_SDR.mp4,92,14.74,1.423
Meridian_3840x2160_5994fps_SDR.mp4,93,14.744,1.697
Meridian_3840x2160_5994fps_SDR.mp4,94,14.781,1.241
Meridian_3840x2160_5994fps_SDR.mp4,95,14.781,1.463
Meridian_3840x2160_5994fps_SDR.mp4,96,14.743,1.474
Meridian_3840x2160_5994fps_SDR.mp4,97,14.812,1.687
Meridian_3840x2160_5994fps_SDR.mp4,98,14.85,1.975
Meridian_3840x2160_5994fps_SDR.mp4,99,14.908,1.469
Meridian_3840x2160_5994fps_SDR.mp4,100,14.938,1.618
Meridian_3840x2160_5994fps_SDR.mp4,101,14.939,1.628
Meridian_3840x2160_5994fps_SDR.mp4,102,14.971,1.365
Meridian_3840x2160_5994fps_SDR.mp4,103,14.92,1.588
Meridian_3840x2160_5994fps_SDR.mp4,104,14.985,1.291
Meridian_3840x2160_5994fps_SDR.mp4,105,14.962,1.794
Meridian_3840x2160_5994fps_SDR.mp4,106,14.867,1.761
Meridian_3840x2160_5994fps_SDR.mp4,107,14.937,1.639
Meridian_3840x2160_5994fps_SDR.mp4,108,14.828,1.915
Meridian_3840x2160_5994fps_SDR.mp4,109,14.896,1.21
Meridian_3840x2160_5994fps_SDR.mp4,110,14.907,1.487
Meridian_3840x2160_5994fps_SDR.mp4,111,14.93,1.512
Meridian_3840x2160_5994fps_SDR.mp4,112,15.026,1.3
Meridian_3840x2160_5994fps_SDR.mp4,113,15.092,1.581
Meridian_3840x2160_5994fps_SDR.mp4,114,15.158,1.164
Meridian_3840x2160_5994fps_SDR.mp4,115,15.2,1.405
Meridian_3840x2160_5994fps_SDR.mp4,116,15.233,1.416
Meridian_3840x2160_5994fps_SDR.mp4,117,15.336,1.319
Meridian_3840x2160_5994fps_SDR.mp4,118,15.381,1.551
Meridian_3840x2160_5994fps_SDR.mp4,119,15.482,1.193
Meridian_3840x2160_5994fps_SDR.mp4,120,15.499,1.462
Meridian_3840x2160_5994fps_SDR.mp4,121,16.031,1.969
Meridian_3840x2160_5994fps_SDR.mp4,122,15.855,1.413
Meridian_3840x2160_5994fps_SDR.mp4,123,16.008,1.353
Meridian_3840x2160_5994fps_SDR.mp4,124,15.971,1.314
Meridian_3840x2160_5994fps_SDR.mp4,125,16.106,1.264
Meridian_3840x2160_5994fps_SDR.mp4,126,16.111,1.368
Meridian_3840x2160_5994fps_SDR.mp4,127,16.195,1.225
