input_file,n,si,ti
Sparks_4096x2160_5994fps_HDR10.mp4,1,0.045,
Sparks_4096x2160_5994fps_HDR10.mp4,2,0.064,0.105
Sparks_4096x2160_5994fps_HDR10.mp4,3,0.084,0.124
Sparks_4096x2160_5994fps_HDR10.mp4,4,0.11,0.067
Sparks_4096x2160_5994fps_HDR10.mp4,5,0.081,0.075
Sparks_4096x2160_5994fps_HDR10.mp4,6,0.095,0.06
Sparks_4096x2160_5994fps_HDR10.mp4,7,0.077,0.055
Sparks_4096x2160_5994fps_HDR10.mp4,8,0.097,0.05
Sparks_4096x2160_5994fps_HDR10.mp4,9,0.1,0.058
Sparks_4096x2160_5994fps_HDR10.mp4,10,0.14,0.092
Sparks_4096x2160_5994fps_HDR10.mp4,11,0.141,0.123
Sparks_4096x2160_5994fps_HDR10.mp4,12,0.173,0.134
Sparks_4096x2160_5994fps_HDR10.mp4,13,0.151,0.087
Sparks_4096x2160_5994fps_HDR10.mp4,14,0.164,0.075
Sparks_4096x2160_5994fps_HDR10.mp4,15,0.169,0.069
Sparks_4096x2160_5994fps_HDR10.mp4,16,0.204,0.08
Sparks_4096x2160_5994fps_HDR10.mp4,17,0.204,0.095
Sparks_4096x2160_5994fps_HDR10.mp4,18,0.216,0.107
Sparks_4096x2160_5994fps_HDR10.mp4,19,0.228,0.115
Sparks_4096x2160_5994fps_HDR10.mp4,20,0.263,0.138
Sparks_4096x2160_5994fps_HDR10.mp4,21,0.253,0.112
Sparks_4096x2160_5994fps_HDR10.mp4,22,0.263,0.103
Sparks_4096x2160_5994fps_HDR10.mp4,23,0.274,0.103
Sparks_4096x2160_5994fps_HDR10.mp4,24,0.305,0.113
Sparks_4096x2160_5994fps_HDR10.mp4,25,0.301,0.126
Sparks_4096x2160_5994fps_HDR10.mp4,26,0.32,0.131
Sparks_4096x2160_5994fps_HDR10.mp4,27,0.312,0.122
Sparks_4096x2160_5994fps_HDR10.mp4,28,0.334,0.122
Sparks_4096x2160_5994fps_HDR10.mp4,29,0.327,0.115
Sparks_4096x2160_5994fps_HDR10.mp4,30,0.348,0.118
Sparks_4096x2160_5994fps_HDR10.mp4,31,0.332,0.117
Sparks_4096x2160_5994fps_HDR10.mp4,32,0.354,0.116
Sparks_4096x2160_5994fps_HDR10.mp4,33,0.343,0.131
Sparks_4096x2160_5994fps_HDR10.mp4,34,0.378,0.137
Sparks_4096x2160_5994fps_HDR10.mp4,35,0.352,0.122
Sparks_4096x2160_5994fps_HDR10.mp4,36,0.372,0.106
Sparks_4096x2160_5994fps_HDR10.mp4,37,0.36,0.117
Sparks_4096x2160_5994fps_HDR10.mp4,38,0.402,0.125
Sparks_4096x2160_5994fps_HDR10.mp4,39,0.369,0.13
Sparks_4096x2160_5994fps_HDR10.mp4,40,0.385,0.124
Sparks_4096x2160_5994fps_HDR10.mp4,41,0.374,0.121
Sparks_4096x2160_5994fps_HDR10.mp4,42,0.42,0.121
Sparks_4096x2160_5994fps_HDR10.mp4,43,0.385,0.118
Sparks_4096x2160_5994fps_HDR10.mp4,44,0.396,0.11
Sparks_4096x2160_5994fps_HDR10.mp4,45,0.384,0.121
Sparks_4096x2160_5994fps_HDR10.mp4,46,0.424,0.121
Sparks_4096x2160_5994fps_HDR10.mp4,47,0.386,0.116
Sparks_4096x2160_5994fps_HDR10.mp4,48,0.4,0.101
Sparks_4096x2160_5994fps_HDR10.mp4,49,0.401,0.114
Sparks_4096x2160_5994fps_HDR10.mp4,50,0.439,0.123
Sparks_4096x2160_5994fps_HDR10.mp4,51,0.41,0.124
Sparks_4096x2160_5994fps_HDR10.mp4,52,0.419,0.11
Sparks_4096x2160_5994fps_HDR10.mp4,53,0.414,0.112
Sparks_4096x2160_5994fps_HDR10.mp4,54,0.455,0.119
Sparks_4096x2160_5994fps_HDR10.mp4,55,0.426,0.119
Sparks_4096x2160_5994fps_HDR10.mp4,56,0.436,0.115
Sparks_4096x2160_5994fps_HDR10.mp4,57,0.431,0.119
Sparks_4096x2160_5994fps_HDR10.mp4,58,0.47,0.125
Sparks_4096x2160_5994fps_HDR10.mp4,59,0.442,0.124
Sparks_4096x2160_5994fps_HDR10.mp4,60,0.451,0.112
Sparks_4096x2160_5994fps_HDR10.mp4,61,0.448,0.119
Sparks_4096x2160_5994fps_HDR10.mp4,62,0.483,0.125
Sparks_4096x2160_5994fps_HDR10.mp4,63,0.46,0.127
Sparks_4096x2160_5994fps_HDR10.mp4,64,0.469,0.111
Sparks_4096x2160_5994fps_HDR10.mp4,65,0.466,0.119
Sparks_4096x2160_5994fps_HDR10.mp4,66,0.504,0.126
Sparks_4096x2160_5994fps_HDR10.mp4,67,0.486,0.131
Sparks_4096x2160_5994fps_HDR10.mp4,68,0.495,0.111
Sparks_4096x2160_5994fps_HDR10.mp4,69,0.498,0.122
Sparks_4096x2160_5994fps_HDR10.mp4,70,0.539,0.129
Sparks_4096x2160_5994fps_HDR10.mp4,71,0.52,0.131
Sparks_4096x2160_5994fps_HDR10.mp4,72,0.527,0.119
Sparks_4096x2160_5994fps_HDR10.mp4,73,0.531,0.122
Sparks_4096x2160_5994fps_HDR10.mp4,74,0.573,0.125
Sparks_4096x2160_5994fps_HDR10.mp4,75,0.553,0.138
Sparks_4096x2160_5994fps_HDR10.mp4,76,0.56,0.118
Sparks_4096x2160_5994fps_HDR10.mp4,77,0.564,0.128
Sparks_4096x2160_5994fps_HDR10.mp4,78,0.61,0.136
Sparks_4096x2160_5994fps_HDR10.mp4,79,0.592,0.135
Sparks_4096x2160_5994fps_HDR10.mp4,80,0.596,0.121
Sparks_4096x2160_5994fps_HDR10.mp4,81,0.603,0.126
Sparks_4096x2160_5994fps_HDR10.mp4,82,0.641,0.129
Sparks_4096x2160_5994fps_HDR10.mp4,83,0.63,0.135
Sparks_4096x2160_5994fps_HDR10.mp4,84,0.635,0.122
Sparks_4096x2160_5994fps_HDR10.mp4,85,0.642,0.133
Sparks_4096x2160_5994fps_HDR10.mp4,86,0.683,0.139
Sparks_4096x2160_5994fps_HDR10.mp4,87,0.676,0.141
Sparks_4096x2160_5994fps_HDR10.mp4,88,0.681,0.124
Sparks_4096x2160_5994fps_HDR10.mp4,89,0.69,0.137
Sparks_4096x2160_5994fps_HDR10.mp4,90,0.732,0.14
Sparks_4096x2160_5994fps_HDR10.mp4,91,0.725,0.143
Sparks_4096x2160_5994fps_HDR10.mp4,92,0.732,0.131
Sparks_4096x2160_5994fps_HDR10.mp4,93,0.749,0.136
Sparks_4096x2160_5994fps_HDR10.mp4,94,0.79,0.14
Sparks_4096x2160_5994fps_HDR10.mp4,95,0.786,0.149
Sparks_4096x2160_5994fps_HDR10.mp4,96,0.792,0.13
Sparks_4096x2160_5994fps_HDR10.mp4,97,0.811,0.14
Sparks_4096x2160_5994fps_HDR10.mp4,98,0.86,0.149
Sparks_4096x2160_5994fps_HDR10.mp4,99,0.854,0.15
Sparks_4096x2160_5994fps_HDR10.mp4,100,0.86,0.137
Sparks_4096x2160_5994fps_HDR10.mp4,101,0.877,0.136
Sparks_4096x2160_5994fps_HDR10.mp4,102,0.926,0.147
Sparks_4096x2160_5994fps_HDR10.mp4,103,0.92,0.149
Sparks_4096x2160_5994fps_HDR10.mp4,104,0.927,0.138
Sparks_4096x2160_5994fps_HDR10.mp4,105,0.948,0.148
Sparks_4096x2160_5994fps_HDR10.mp4,106,0.997,0.153
Sparks_4096x2160_5994fps_HDR10.mp4,107,0.997,0.155
Sparks_4096x2160_5994fps_HDR10.mp4,108,1.001,0.141
Sparks_4096x2160_5994fps_HDR10.mp4,109,1.027,0.152
Sparks_4096x2160_5994fps_HDR10.mp4,110,1.074,0.162
Sparks_4096x2160_5994fps_HDR10.mp4,111,1.081,0.162
Sparks_4096x2160_5994fps_HDR10.mp4,112,1.086,0.148
Sparks_4096x2160_5994fps_HDR10.mp4,113,1.12,0.157
Sparks_4096x2160_5994fps_HDR10.mp4,114,1.175,0.158
Sparks_4096x2160_5994fps_HDR10.mp4,115,1.181,0.162
Sparks_4096x2160_5994fps_HDR10.mp4,116,1.186,0.147
Sparks_4096x2160_5994fps_HDR10.mp4,117,1.216,0.162
Sparks_4096x2160_5994fps_HDR10.mp4,118,1.269,0.165
Sparks_4096x2160_5994fps_HDR10.mp4,119,1.254,0.184
Sparks_4096x2160_5994fps_HDR10.mp4,120,1.267,0.172
Sparks_4096x2160_5994fps_HDR10.mp4,121,1.322,0.274
Sparks_4096x2160_5994fps_HDR10.mp4,122,1.348,0.217
Sparks_4096x2160_5994fps_HDR10.mp4,123,1.355,0.142
Sparks_4096x2160_5994fps_HDR10.mp4,124,1.395,0.154
Sparks_4096x2160_5994fps_HDR10.mp4,125,1.458,0.161
Sparks_4096x2160_5994fps_HDR10.mp4,126,1.461,0.191
Sparks_4096x2160_5994fps_HDR10.mp4,127,1.469,0.161
Sparks_4096x2160_5994fps_HDR10.mp4,128,1.507,0.179
Sparks_4096x2160_5994fps_HDR10.mp4,129,1.568,0.178
Sparks_4096x2160_5994fps_HDR10.mp4,130,1.58,0.187
Sparks_4096x2160_5994fps_HDR10.mp4,131,1.583,0.157
Sparks_4096x2160_5994fps_HDR10.mp4,132,1.632,0.175
Sparks_4096x2160_5994fps_HDR10.mp4,133,1.699,0.176
