input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,9.036,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.267,1.853,2
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.414,1.768,3
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.223,1.774,4
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.663,1.777,5
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.121,1.771,6
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.166,1.736,7
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.065,1.719,8
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.388,1.725,9
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,7.992,1.696,10
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.066,1.697,11
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,7.962,1.682,12
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.241,1.68,13
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.145,1.855,14
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.106,1.835,15
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.091,1.823,16
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.081,1.817,17
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.107,1.825,18
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.072,1.821,19
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.084,1.815,20
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.067,1.819,21
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.045,1.817,22
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.059,1.815,23
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.099,1.819,24
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.056,1.822,25
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.102,1.834,26
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.067,1.823,27
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_40974kbps_2160p_60.0fps_h264.mp4,8.102,1.818,28
