input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.443,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.427,0.084,2
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.421,0.078,3
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.42,0.085,4
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.427,0.092,5
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.321,0.245,6
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.296,0.208,7
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.296,0.18,8
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.33,0.171,9
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.324,0.073,10
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.321,0.059,11
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.324,0.059,12
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.331,0.063,13
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.263,0.231,14
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.253,0.144,15
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.27,0.153,16
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.322,0.157,17
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.293,0.278,18
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.3,0.18,19
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.277,0.281,20
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.347,0.269,21
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.135,0.414,22
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.105,0.317,23
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.13,0.186,24
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.134,0.216,25
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.064,0.233,26
/media/data01/AVT-VQDB-UHD-1/segments/Dancers_8s_97kbps_360p_60.0fps_h264.mp4,21.045,0.211,27
