input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,75.199,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,74.884,5.225,2
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,74.955,4.949,3
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,74.867,4.833,4
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,75.173,4.736,5
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,74.814,4.756,6
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,74.548,4.8,7
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,74.282,4.677,8
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,74.896,4.956,9
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,74.359,5.12,10
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,74.986,5.456,11
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,75.592,6.275,12
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,75.723,6.752,13
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,75.505,7.205,14
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,75.144,8.187,15
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,75.256,9.164,16
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_1659kbps_360p_59.94fps_h264.mp4,75.407,10.217,17
