input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,61.356,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,61.223,5.493,2
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,61.29,5.313,3
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,61.304,5.23,4
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,61.441,5.082,5
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,60.98,5.15,6
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,60.697,5.179,7
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,60.096,5.323,8
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,61.394,5.471,9
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,61.032,5.996,10
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,60.568,6.94,11
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,61.041,8.611,12
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,61.268,9.336,13
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,60.547,10.011,14
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,60.514,10.933,15
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,60.317,11.94,16
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,60.545,12.828,17
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,59.958,13.218,18
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,59.879,13.38,19
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,59.882,13.474,20
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,60.172,13.597,21
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,59.777,13.631,22
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,59.518,13.5,23
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,59.502,13.364,24
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,59.856,13.153,25
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,59.777,12.694,26
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,59.884,12.228,27
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,59.786,11.723,28
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,60.223,11.524,29
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,59.785,11.475,30
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,59.88,12.044,31
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,59.616,12.95,32
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,59.595,13.786,33
/media/data01/AVT-VQDB-UHD-1/segments/Moment_of_Intensity_8s_4553kbps_720p_59.94fps_h264.mp4,58.414,14.408,34
