input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,0.0,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,3.953,3.557,2
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,6.789,4.031,3
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,11.403,5.013,4
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,14.245,6.158,5
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,19.191,7.574,6
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,21.512,8.615,7
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,25.511,10.21,8
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,29.293,11.664,9
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,34.795,13.044,10
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,37.376,14.158,11
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,41.146,15.611,12
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,46.956,16.273,13
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,46.345,16.898,14
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,46.797,14.95,15
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,46.932,16.354,16
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,47.547,14.958,17
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,47.021,14.258,18
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,46.94,14.175,19
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,46.967,15.355,20
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,47.408,16.073,21
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,46.923,12.749,22
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,46.85,13.973,23
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,46.877,16.178,24
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,46.902,11.701,25
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,46.314,17.71,26
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,46.722,18.368,27
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,46.974,13.437,28
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,47.218,10.422,29
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_40000kbps_2160p_59.94fps_h264.mp4,46.602,14.195,30
