input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.435,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.611,12.121,2
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.722,17.425,3
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.586,14.892,4
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.853,16.622,5
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.088,19.251,6
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.105,18.305,7
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.915,19.482,8
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.834,19.726,9
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,79.872,20.101,10
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.383,20.986,11
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.315,18.025,12
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.836,21.989,13
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.819,13.118,14
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.559,22.01,15
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.527,13.917,16
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.766,13.971,17
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.566,13.749,18
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,79.781,14.766,19
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.586,11.719,20
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.827,13.848,21
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,79.736,13.911,22
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.974,12.132,23
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.729,14.339,24
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.643,19.542,25
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,79.878,18.243,26
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.241,17.963,27
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.062,19.869,28
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.778,19.016,29
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,79.476,21.68,30
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.831,20.885,31
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.927,22.797,32
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.776,20.0,33
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.133,22.905,34
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.67,21.19,35
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,79.955,20.862,36
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.915,20.551,37
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,79.762,20.157,38
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.349,20.405,39
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.271,19.715,40
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.692,19.643,41
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.674,20.713,42
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.754,21.116,43
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.054,21.446,44
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.494,21.469,45
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.198,20.496,46
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.033,22.365,47
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.576,21.168,48
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.145,22.463,49
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.558,21.565,50
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.956,24.049,51
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.396,22.808,52
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.058,23.808,53
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.906,23.009,54
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.239,21.107,55
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.81,23.475,56
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.0,21.861,57
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.322,23.274,58
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.754,21.808,59
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,82.787,22.937,60
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,83.076,22.545,61
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,82.446,22.143,62
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.092,21.205,63
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,82.648,20.995,64
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.631,23.867,65
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.526,19.922,66
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.636,21.551,67
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.222,18.471,68
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.385,19.007,69
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.589,19.542,70
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.944,19.752,71
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.436,15.406,72
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.13,19.961,73
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,79.982,19.848,74
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.511,19.197,75
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.118,20.034,76
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.385,20.381,77
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.96,23.421,78
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.775,23.653,79
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,81.349,23.08,80
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_6635kbps_720p_59.94fps_h264.mp4,80.98,22.411,81
