input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,65.258,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.58,17.885,2
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.833,24.538,3
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.85,20.565,4
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.388,22.506,5
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.26,25.504,6
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.887,24.514,7
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.323,25.562,8
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.939,25.914,9
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.196,26.776,10
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.509,26.875,11
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.763,25.538,12
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.115,27.743,13
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.686,19.005,14
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.835,27.48,15
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.727,19.993,16
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.251,19.573,17
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.0,19.454,18
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.993,21.53,19
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.993,16.029,20
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.248,19.284,21
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.97,19.973,22
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.111,16.982,23
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.299,19.716,24
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.358,25.547,25
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.385,24.538,26
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.055,24.055,27
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.43,25.335,28
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.322,24.699,29
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.195,26.088,30
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.37,25.472,31
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.899,26.52,32
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,61.909,24.959,33
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,61.739,26.541,34
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,61.717,25.709,35
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.468,25.489,36
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.204,25.379,37
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.267,25.418,38
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.293,25.441,39
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.789,25.589,40
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.007,24.936,41
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.286,25.523,42
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,61.88,25.618,43
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.311,26.007,44
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.099,26.049,45
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.176,25.677,46
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.006,27.05,47
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.277,25.94,48
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,61.181,26.744,49
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,61.546,26.16,50
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,61.47,28.035,51
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.217,27.359,52
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.271,28.161,53
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.015,27.709,54
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.036,26.116,55
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.128,27.695,56
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,61.909,26.691,57
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,61.879,27.737,58
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,61.927,27.119,59
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.376,27.47,60
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.911,26.839,61
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.779,26.603,62
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.734,26.157,63
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.387,26.656,64
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.386,29.62,65
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.559,24.807,66
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.922,27.493,67
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.435,24.407,68
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.972,24.524,69
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.855,26.142,70
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.053,26.115,71
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.421,21.582,72
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.93,26.48,73
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.314,26.507,74
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.954,25.099,75
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,64.504,26.689,76
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.612,27.087,77
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.198,28.674,78
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.958,29.035,79
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.928,28.531,80
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,63.1,28.613,81
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.858,29.154,82
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,61.948,28.559,83
/media/data01/AVT-VQDB-UHD-1/segments/american_football_harmonic_8s_22229kbps_2160p_59.94fps_h264.mp4,62.734,29.389,84
