input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,73.362,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.631,6.918,2
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.529,8.351,3
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.82,8.761,4
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.258,7.492,5
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.397,7.183,6
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.898,6.508,7
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.593,4.747,8
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.222,5.557,9
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.668,7.164,10
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.243,8.088,11
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.257,6.389,12
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.572,5.39,13
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.976,5.261,14
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.179,5.235,15
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.92,6.621,16
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.755,6.249,17
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.459,4.83,18
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.525,4.429,19
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.454,3.707,20
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.61,2.892,21
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.558,4.982,22
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.797,6.06,23
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.161,6.423,24
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.205,4.414,25
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.237,4.63,26
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.265,4.671,27
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.306,6.188,28
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.334,6.018,29
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.409,5.106,30
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.282,4.397,31
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.392,3.633,32
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.105,2.73,33
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.274,2.647,34
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.521,4.814,35
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.192,6.995,36
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.852,6.025,37
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.7,4.817,38
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.553,5.499,39
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,72.262,4.686,40
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,71.519,6.594,41
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_200kbps_360p_60.0fps_h264.mp4,70.923,5.907,42
