input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,52.97,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,52.173,8.149,2
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,52.275,9.205,3
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,51.777,9.566,4
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,51.919,8.667,5
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,51.757,8.074,6
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,52.001,6.988,7
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,51.819,6.084,8
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,52.014,6.641,9
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,51.778,7.791,10
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,52.622,9.236,11
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,53.068,7.381,12
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,53.128,6.693,13
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,52.558,6.574,14
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,52.501,6.124,15
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,52.164,7.578,16
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,51.895,7.031,17
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,51.821,5.682,18
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,51.981,5.445,19
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,51.709,4.243,20
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,51.837,3.594,21
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,51.869,5.385,22
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,52.334,7.087,23
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,52.922,7.362,24
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,53.125,5.593,25
/media/data01/AVT-VQDB-UHD-1/segments/bigbuck_bunny_8bit_2000kbps_720p_60.0fps_h264.mp4,52.902,5.711,26
