input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,0.0,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,2.026,3.733,2
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,3.781,4.061,3
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,5.613,3.49,4
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,7.52,3.8,5
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,9.412,3.732,6
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,11.131,4.132,7
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,13.092,3.589,8
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,15.1,3.822,9
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,17.134,3.661,10
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,18.882,3.853,11
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,20.828,3.801,12
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.552,3.728,13
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.356,0.754,14
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.389,0.547,15
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.376,0.48,16
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.494,0.474,17
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.368,0.676,18
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.412,0.436,19
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.4,0.355,20
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.482,0.415,21
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.333,0.573,22
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.339,0.402,23
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.323,0.431,24
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.408,0.377,25
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.308,0.58,26
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.33,0.369,27
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.324,0.332,28
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.407,0.405,29
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.322,0.514,30
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.33,0.322,31
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.312,0.319,32
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.393,0.412,33
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.302,0.496,34
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.309,0.31,35
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.285,0.284,36
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.352,0.373,37
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.295,0.454,38
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.319,0.32,39
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.309,0.323,40
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.367,0.355,41
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.305,0.524,42
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.315,0.297,43
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.299,0.411,44
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.396,0.432,45
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.332,0.457,46
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.344,0.312,47
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.321,0.351,48
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.394,0.365,49
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.339,0.454,50
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.362,0.334,51
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_7500kbps_2160p_59.94fps_h264.mp4,22.355,0.276,52
