input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,0.0,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,2.482,3.752,2
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,4.829,3.898,3
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,7.369,3.58,4
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,9.954,3.78,5
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,12.551,3.695,6
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,14.912,4.027,7
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,17.527,3.696,8
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,20.179,3.843,9
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,22.904,3.658,10
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,25.276,3.914,11
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,27.864,3.761,12
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.184,3.709,13
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.09,0.831,14
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.108,0.456,15
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.106,0.429,16
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.176,0.397,17
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.156,0.729,18
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.161,0.343,19
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.173,0.305,20
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.196,0.297,21
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.071,0.561,22
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.052,0.344,23
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.01,0.301,24
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.061,0.428,25
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.062,0.666,26
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.061,0.317,27
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.066,0.205,28
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.089,0.331,29
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.064,0.468,30
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.051,0.241,31
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.057,0.254,32
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.086,0.26,33
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.022,0.512,34
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.012,0.261,35
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.013,0.224,36
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.049,0.311,37
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,30.003,0.476,38
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,29.973,0.278,39
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,29.952,0.254,40
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,29.984,0.354,41
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,29.937,0.547,42
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,29.967,0.278,43
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_2000kbps_1080p_59.94fps_h264.mp4,29.949,0.307,44
