input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.71,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.591,2.473,2
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.537,2.455,3
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.475,2.498,4
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.435,2.711,5
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.348,2.537,6
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.314,2.205,7
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.316,2.392,8
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.269,3.042,9
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.133,3.369,10
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.054,3.712,11
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.079,3.512,12
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.106,3.561,13
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.117,3.352,14
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.229,2.326,15
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.244,2.025,16
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.259,4.191,17
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.277,5.442,18
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.343,6.702,19
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.385,6.431,20
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.499,4.882,21
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.518,3.76,22
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.621,3.459,23
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.645,3.857,24
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.756,4.575,25
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.453,5.202,26
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.034,5.535,27
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.954,5.05,28
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.999,5.426,29
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.732,5.475,30
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.456,6.315,31
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.322,7.872,32
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.48,7.376,33
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.762,8.599,34
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.74,8.992,35
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.672,9.612,36
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.687,10.23,37
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.544,10.537,38
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.509,9.978,39
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.443,9.096,40
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.288,9.531,41
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.535,9.468,42
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.724,9.727,43
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.676,11.003,44
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.252,9.352,45
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.444,8.495,46
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.637,7.089,47
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.487,7.17,48
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.414,6.03,49
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.367,3.789,50
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,30.036,4.642,51
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.593,7.678,52
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.136,8.364,53
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,28.718,9.474,54
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,28.858,9.653,55
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.114,9.347,56
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.847,8.462,57
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.628,8.596,58
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.552,9.347,59
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,28.812,12.018,60
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,27.307,13.728,61
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,25.749,13.716,62
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,26.604,13.896,63
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,27.559,13.29,64
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,27.846,10.578,65
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,28.156,9.162,66
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,28.573,8.871,67
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.36,8.763,68
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.803,8.991,69
/media/data01/AVT-VQDB-UHD-1/segments/cutting_orange_tuil_8s_14930kbps_1080p_59.94fps_h264.mp4,29.71,9.409,70
