input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,0.0,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,2.255,4.421,2
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,3.91,4.676,3
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,6.23,4.595,4
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,8.866,4.702,5
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,11.297,4.688,6
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,11.645,4.959,7
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,14.347,4.787,8
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,17.682,5.205,9
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,21.379,5.272,10
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,23.126,6.448,11
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,27.626,6.63,12
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,30.59,7.947,13
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,30.17,7.161,14
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,31.066,6.273,15
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,30.637,6.033,16
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,31.547,6.3,17
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,30.583,7.061,18
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,31.235,6.364,19
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,30.805,6.303,20
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,31.43,6.546,21
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,30.302,6.861,22
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,30.837,6.39,23
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,30.655,6.375,24
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,31.183,6.663,25
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,30.458,7.134,26
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,31.522,6.658,27
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,31.04,6.36,28
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,31.975,6.643,29
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,31.144,7.196,30
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,32.162,6.876,31
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,31.81,6.864,32
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,32.715,7.276,33
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,31.666,7.65,34
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,32.32,7.218,35
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,31.492,6.677,36
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_750kbps_720p_59.94fps_h264.mp4,32.035,6.895,37
