input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,0.0,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,3.098,4.505,2
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,5.32,4.852,3
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,8.822,4.786,4
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,10.606,5.131,5
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,14.418,5.41,6
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,16.981,5.949,7
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,21.703,6.502,8
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,23.005,7.186,9
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,27.002,7.832,10
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,29.387,8.5,11
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,34.536,9.455,12
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,37.663,10.676,13
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,36.557,9.947,14
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,36.875,9.683,15
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,36.658,9.496,16
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,37.531,9.695,17
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,36.759,9.917,18
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,36.978,9.647,19
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,36.807,9.513,20
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,37.424,9.839,21
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,36.095,9.733,22
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,36.348,9.427,23
/media/data01/AVT-VQDB-UHD-1/segments/surfing_sony_8bit_15000kbps_1080p_59.94fps_h264.mp4,36.073,9.565,24
