input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,0.0,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,3.243,5.071,2
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,5.793,5.204,3
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,8.455,5.156,4
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,11.16,5.031,5
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,13.935,5.089,6
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,16.582,5.175,7
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,19.319,4.979,8
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,21.976,5.049,9
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,24.713,5.138,10
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,27.258,5.341,11
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,29.849,5.463,12
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,32.39,5.421,13
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,32.408,3.209,14
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,32.437,3.504,15
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,32.409,2.216,16
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,32.462,2.474,17
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,32.385,2.091,18
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,32.402,4.205,19
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,32.46,5.425,20
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,32.735,4.872,21
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,32.905,4.688,22
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,33.5,3.076,23
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,33.553,1.236,24
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,33.532,1.691,25
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,33.57,0.769,26
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,33.59,0.58,27
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,33.605,0.563,28
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,33.625,0.594,29
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,33.646,0.826,30
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,33.665,0.623,31
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,33.677,0.754,32
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,33.753,1.118,33
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,33.49,1.861,34
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,33.491,2.307,35
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,33.592,2.333,36
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,33.956,2.303,37
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.093,2.033,38
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.195,1.026,39
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.19,1.003,40
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.309,2.252,41
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.458,2.358,42
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.545,1.702,43
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.64,1.775,44
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.992,2.232,45
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.926,2.398,46
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.591,2.142,47
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.582,1.718,48
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.699,1.172,49
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.738,0.903,50
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.757,0.86,51
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.82,0.641,52
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.871,0.774,53
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.987,1.79,54
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,35.143,1.826,55
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,35.276,1.216,56
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,35.511,1.56,57
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.998,3.851,58
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.728,5.67,59
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.358,6.9,60
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.677,7.246,61
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.735,6.964,62
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,35.415,6.66,63
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,34.575,7.063,64
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,33.697,9.333,65
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_750kbps_360p_59.94fps_h264.mp4,32.492,11.387,66
