input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,0.0,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,1.622,5.009,2
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,2.574,5.153,3
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,3.529,5.132,4
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,4.431,5.016,5
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,5.413,5.119,6
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,6.379,5.078,7
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,7.321,4.988,8
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,8.28,5.077,9
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,9.264,5.263,10
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,10.299,5.291,11
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,11.161,5.604,12
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,12.079,5.395,13
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,11.994,3.198,14
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,12.019,3.565,15
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,12.014,2.315,16
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,12.087,2.526,17
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,12.005,2.189,18
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,12.004,4.286,19
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,12.019,5.442,20
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,12.164,4.912,21
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,12.164,4.72,22
/media/data01/AVT-VQDB-UHD-1/segments/vegetables_tuil_7500kbps_1080p_59.94fps_h264.mp4,12.449,3.09,23
