input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,56.363,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,54.981,9.807,2
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.528,9.386,3
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.204,8.902,4
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.726,8.952,5
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,54.659,9.448,6
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.128,9.16,7
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,54.312,8.36,8
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.093,8.222,9
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,53.914,8.674,10
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,54.382,7.601,11
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,54.047,7.057,12
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,54.903,7.378,13
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,54.062,8.363,14
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.016,7.913,15
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.229,7.846,16
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,56.151,8.35,17
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.583,9.679,18
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,56.209,9.003,19
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.644,8.897,20
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,56.726,9.349,21
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.487,10.343,22
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,56.044,9.555,23
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.999,9.697,24
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,56.465,10.262,25
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.825,11.254,26
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.821,10.258,27
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.286,9.925,28
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.958,9.931,29
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.042,10.654,30
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.367,9.545,31
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,54.933,9.375,32
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,55.186,9.914,33
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,54.489,10.609,34
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_720p_59.94fps_h264.mp4,54.797,10.201,35
