input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,82.461,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,81.004,10.04,2
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.918,9.649,3
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.177,9.23,4
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.979,9.109,5
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,79.784,9.501,6
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.371,9.286,7
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,79.715,8.735,8
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.215,8.743,9
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,79.312,9.035,10
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,79.221,8.362,11
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,79.235,7.917,12
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,79.86,7.82,13
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,79.168,8.445,14
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,79.907,8.425,15
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.007,8.671,16
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.546,8.899,17
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.615,9.709,18
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,81.308,9.903,19
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.882,9.658,20
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,81.59,9.819,21
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.483,10.686,22
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.791,10.325,23
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.395,10.211,24
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,81.225,10.412,25
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.814,11.546,26
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.747,11.225,27
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.263,10.783,28
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.543,10.551,29
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,79.711,10.815,30
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.294,10.285,31
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,79.585,10.287,32
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.082,10.509,33
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.117,11.133,34
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.559,10.884,35
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,80.616,11.382,36
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,81.612,11.824,37
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,81.1,12.563,38
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,81.87,12.91,39
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_750kbps_360p_59.94fps_h264.mp4,81.686,13.458,40
