input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.893,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.667,0.472,2
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.634,0.499,3
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.649,0.884,4
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,13.024,0.913,5
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.337,1.337,6
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.22,1.274,7
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.488,1.254,8
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,13.161,1.176,9
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.619,1.536,10
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.341,1.318,11
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.536,1.346,12
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,13.26,1.386,13
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.529,1.83,14
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.17,1.581,15
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.402,1.326,16
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,13.163,1.306,17
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.068,1.84,18
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,11.837,1.692,19
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.051,1.633,20
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.985,1.969,21
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.135,1.923,22
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,11.922,1.765,23
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.162,1.464,24
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.93,1.447,25
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.833,2.135,26
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.821,2.657,27
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.799,2.491,28
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.914,5.158,29
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.65,2.95,30
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.53,3.123,31
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.525,3.037,32
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.534,2.892,33
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.523,3.278,34
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.483,3.374,35
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.389,3.236,36
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.398,3.546,37
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.253,3.174,38
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.036,3.238,39
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.137,3.535,40
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.018,3.373,41
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.208,3.259,42
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.109,3.44,43
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.212,3.278,44
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.18,3.648,45
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.201,3.622,46
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.276,3.578,47
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.231,3.334,48
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.305,3.386,49
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.214,3.475,50
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.208,3.294,51
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.33,3.074,52
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.4,3.483,53
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.538,3.59,54
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.271,3.532,55
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_871kbps_1080p_59.94fps_h264.mp4,12.238,3.329,56
