input_file,si,ti,n
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.705,0.0,1
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.595,0.387,2
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.579,0.385,3
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.576,0.416,4
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.741,0.414,5
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.204,1.273,6
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.224,1.142,7
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.428,0.955,8
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,15.028,0.954,9
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.623,1.482,10
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.416,1.195,11
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.673,1.15,12
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,15.258,1.205,13
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.0,1.416,14
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.638,1.364,15
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.846,1.352,16
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.77,1.25,17
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.696,1.365,18
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.257,1.935,19
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.636,1.871,20
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.802,1.617,21
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.616,1.653,22
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.542,1.572,23
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.777,1.323,24
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.66,1.254,25
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.536,1.648,26
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.211,1.501,27
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.465,1.504,28
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.397,1.701,29
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.622,1.85,30
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.483,1.552,31
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.73,1.334,32
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.715,1.331,33
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.703,2.747,34
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.659,2.692,35
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.056,2.857,36
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.175,2.759,37
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.09,2.597,38
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.703,7.382,39
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.504,3.596,40
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.454,3.219,41
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.479,3.081,42
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.562,3.152,43
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.465,3.269,44
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.29,3.015,45
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.542,3.625,46
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.474,3.596,47
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.632,3.486,48
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.587,3.086,49
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.461,3.288,50
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.586,3.392,51
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.895,3.284,52
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,14.055,3.401,53
/media/data01/AVT-VQDB-UHD-1/segments/water_netflix_8s_387kbps_720p_59.94fps_h264.mp4,13.932,3.258,54
