input_file,width,height,duration,framerate,size_in_bytes,encoder,crf_value
air_acrobatics_harmonic_0_cropped_8s,3840,2160,8.008000,59.94006309148264984227,2834877,libx264,35
air_acrobatics_harmonic_0_cropped_8s,3840,2160,8.008000,59.94006309148264984227,93850363,vp9,23
american_football_harmonic_8s,3840,2160,7.508000,59.94006309148264984227,7981255,libx264,35
american_football_harmonic_8s,3840,2160,7.508000,59.94006309148264984227,143644734,vp9,23
american_football_harmonic,3840,2160,9.994000,59.94006309148264984227,9734602,libx264,35
american_football_harmonic,3840,2160,9.994000,59.94006309148264984227,196435782,vp9,23
bigbuck_bunny_8bit,4000,2250,10.000000,60.00000000000000000000,3733353,libx264,35
bigbuck_bunny_8bit,4000,2250,10.000000,60.00000000000000000000,23862949,vp9,23
cutting_orange_tuil_8s,3840,2160,8.008000,59.94006309148264984227,2747494,libx264,35
cutting_orange_tuil_8s,3840,2160,8.008000,59.94006309148264984227,40296026,vp9,23
cutting_orange_tuil,3840,2160,10.010000,59.94006309148264984227,2982777,libx264,35
cutting_orange_tuil,3840,2160,10.010000,59.94006309148264984227,46887603,vp9,23
Dancers_8s,3840,2160,8.000000,60.00000000000000000000,1009825,libx264,35
Dancers_8s,3840,2160,8.000000,60.00000000000000000000,131494424,vp9,23
Daydreamer_SDR_8s_3840x2160_8,3840,2160,8.000000,60.00000000000000000000,6766090,libx264,35
Daydreamer_SDR_8s_3840x2160_8,3840,2160,8.000000,60.00000000000000000000,242888878,vp9,23
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,3840,2160,8.000000,60.00000000000000000000,13056295,libx264,35
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,3840,2160,8.000000,60.00000000000000000000,154581166,vp9,23
Giftmord-SDR_8s_11_3840x2160,3840,2160,8.000000,60.00000000000000000000,9350711,libx264,35
Giftmord-SDR_8s_11_3840x2160,3840,2160,8.000000,60.00000000000000000000,185985076,vp9,23
LeagueOfLegends-1_8s,3840,2160,8.517000,60.00000000000000000000,2805928,libx264,35
LeagueOfLegends-1_8s,3840,2160,8.517000,60.00000000000000000000,22517946,vp9,23
Moment_of_Intensity_8s,3840,2160,8.008000,59.94006309148264984227,4330551,libx264,35
Moment_of_Intensity_8s,3840,2160,8.008000,59.94006309148264984227,122556640,vp9,23
monkeys_harmonic_0_cropped_8s,3840,2160,8.008000,59.94006309148264984227,4922305,libx264,35
monkeys_harmonic_0_cropped_8s,3840,2160,8.008000,59.94006309148264984227,66370398,vp9,23
Sparks_cut_13,3840,2160,8.008000,59.94006309148264984227,2917095,libx264,35
Sparks_cut_13,3840,2160,8.008000,59.94006309148264984227,120764647,vp9,23
Sparks_cut_15,3840,2160,8.008000,59.94006309148264984227,16633805,libx264,35
Sparks_cut_15,3840,2160,8.008000,59.94006309148264984227,213356735,vp9,23
surfing_sony_8bit,3840,2160,9.860000,59.94006309148264984227,9232870,libx264,35
surfing_sony_8bit,3840,2160,9.860000,59.94006309148264984227,165132318,vp9,23
vegetables_tuil,3840,2160,10.010000,59.94006309148264984227,2934961,libx264,35
vegetables_tuil,3840,2160,10.010000,59.94006309148264984227,34477251,vp9,23
venice_harmonic_2_cropped_8s,3840,2160,8.008000,59.94006309148264984227,4164831,libx264,35
venice_harmonic_2_cropped_8s,3840,2160,8.008000,59.94006309148264984227,28463507,vp9,23
water_netflix_8s,3840,2160,8.042000,59.94006309148264984227,15864972,libx264,35
water_netflix_8s,3840,2160,8.042000,59.94006309148264984227,178078129,vp9,23
water_netflix,3840,2160,9.994000,59.94006309148264984227,22201695,libx264,35
water_netflix,3840,2160,9.994000,59.94006309148264984227,273308169,vp9,23
