input_file,n,si,ti
vqeghd1_csrc14_original-420p.avi,1,42.88,
vqeghd1_csrc14_original-420p.avi,2,42.857,5.64
vqeghd1_csrc14_original-420p.avi,3,42.818,5.679
vqeghd1_csrc14_original-420p.avi,4,42.79,5.819
vqeghd1_csrc14_original-420p.avi,5,42.79,0.0
vqeghd1_csrc14_original-420p.avi,6,42.793,5.771
vqeghd1_csrc14_original-420p.avi,7,42.77,5.845
vqeghd1_csrc14_original-420p.avi,8,42.703,5.81
vqeghd1_csrc14_original-420p.avi,9,42.699,5.929
vqeghd1_csrc14_original-420p.avi,10,42.675,5.893
vqeghd1_csrc14_original-420p.avi,11,42.675,0.0
vqeghd1_csrc14_original-420p.avi,12,42.659,6.245
vqeghd1_csrc14_original-420p.avi,13,42.745,6.053
vqeghd1_csrc14_original-420p.avi,14,42.708,6.102
vqeghd1_csrc14_original-420p.avi,15,42.702,6.072
vqeghd1_csrc14_original-420p.avi,16,42.668,6.262
vqeghd1_csrc14_original-420p.avi,17,42.668,0.0
vqeghd1_csrc14_original-420p.avi,18,42.69,6.216
vqeghd1_csrc14_original-420p.avi,19,42.649,6.478
vqeghd1_csrc14_original-420p.avi,20,42.652,6.462
vqeghd1_csrc14_original-420p.avi,21,42.665,6.773
vqeghd1_csrc14_original-420p.avi,22,42.833,6.435
vqeghd1_csrc14_original-420p.avi,23,42.833,0.0
vqeghd1_csrc14_original-420p.avi,24,42.582,6.704
vqeghd1_csrc14_original-420p.avi,25,42.724,6.405
vqeghd1_csrc14_original-420p.avi,26,42.733,6.765
vqeghd1_csrc14_original-420p.avi,27,42.794,7.176
vqeghd1_csrc14_original-420p.avi,28,42.714,7.196
vqeghd1_csrc14_original-420p.avi,29,42.714,0.0
vqeghd1_csrc14_original-420p.avi,30,42.682,7.39
vqeghd1_csrc14_original-420p.avi,31,42.573,7.541
vqeghd1_csrc14_original-420p.avi,32,42.602,7.567
vqeghd1_csrc14_original-420p.avi,33,42.666,7.451
vqeghd1_csrc14_original-420p.avi,34,42.864,7.501
vqeghd1_csrc14_original-420p.avi,35,42.864,0.0
vqeghd1_csrc14_original-420p.avi,36,42.94,7.596
vqeghd1_csrc14_original-420p.avi,37,42.854,7.559
vqeghd1_csrc14_original-420p.avi,38,42.859,7.634
vqeghd1_csrc14_original-420p.avi,39,42.772,7.646
vqeghd1_csrc14_original-420p.avi,40,42.745,7.703
vqeghd1_csrc14_original-420p.avi,41,42.745,0.0
vqeghd1_csrc14_original-420p.avi,42,42.748,7.839
vqeghd1_csrc14_original-420p.avi,43,42.807,7.931
vqeghd1_csrc14_original-420p.avi,44,42.685,8.112
vqeghd1_csrc14_original-420p.avi,45,42.709,8.177
vqeghd1_csrc14_original-420p.avi,46,42.486,8.218
vqeghd1_csrc14_original-420p.avi,47,42.486,0.0
vqeghd1_csrc14_original-420p.avi,48,42.445,8.387
vqeghd1_csrc14_original-420p.avi,49,42.509,8.019
vqeghd1_csrc14_original-420p.avi,50,42.633,8.147
vqeghd1_csrc14_original-420p.avi,51,42.667,8.069
vqeghd1_csrc14_original-420p.avi,52,42.693,7.974
vqeghd1_csrc14_original-420p.avi,53,42.693,0.0
vqeghd1_csrc14_original-420p.avi,54,42.613,8.141
vqeghd1_csrc14_original-420p.avi,55,42.38,8.254
vqeghd1_csrc14_original-420p.avi,56,42.409,8.23
vqeghd1_csrc14_original-420p.avi,57,42.384,7.998
vqeghd1_csrc14_original-420p.avi,58,42.551,7.557
vqeghd1_csrc14_original-420p.avi,59,42.551,0.0
vqeghd1_csrc14_original-420p.avi,60,42.586,7.135
vqeghd1_csrc14_original-420p.avi,61,42.616,7.035
vqeghd1_csrc14_original-420p.avi,62,42.605,7.149
