input_file,n,si,ti
vqeghd1_src01_original-420p.avi,1,16.155,
vqeghd1_src01_original-420p.avi,2,16.008,11.618
vqeghd1_src01_original-420p.avi,3,16.13,11.897
vqeghd1_src01_original-420p.avi,4,16.576,11.855
vqeghd1_src01_original-420p.avi,5,16.843,11.704
vqeghd1_src01_original-420p.avi,6,16.81,11.923
vqeghd1_src01_original-420p.avi,7,17.316,11.946
vqeghd1_src01_original-420p.avi,8,17.166,12.109
vqeghd1_src01_original-420p.avi,9,17.152,12.24
vqeghd1_src01_original-420p.avi,10,17.424,12.158
vqeghd1_src01_original-420p.avi,11,16.679,12.165
vqeghd1_src01_original-420p.avi,12,17.137,12.212
vqeghd1_src01_original-420p.avi,13,16.404,12.75
vqeghd1_src01_original-420p.avi,14,16.135,12.957
vqeghd1_src01_original-420p.avi,15,15.801,13.008
vqeghd1_src01_original-420p.avi,16,15.774,13.024
vqeghd1_src01_original-420p.avi,17,15.408,13.574
vqeghd1_src01_original-420p.avi,18,14.682,13.607
vqeghd1_src01_original-420p.avi,19,13.208,14.135
vqeghd1_src01_original-420p.avi,20,12.786,13.734
vqeghd1_src01_original-420p.avi,21,11.898,13.189
vqeghd1_src01_original-420p.avi,22,11.613,13.063
vqeghd1_src01_original-420p.avi,23,11.032,13.396
vqeghd1_src01_original-420p.avi,24,11.294,13.822
vqeghd1_src01_original-420p.avi,25,11.41,13.385
vqeghd1_src01_original-420p.avi,26,11.758,13.528
vqeghd1_src01_original-420p.avi,27,11.799,13.321
vqeghd1_src01_original-420p.avi,28,11.756,13.34
vqeghd1_src01_original-420p.avi,29,11.962,12.913
vqeghd1_src01_original-420p.avi,30,11.805,12.474
vqeghd1_src01_original-420p.avi,31,11.723,12.01
vqeghd1_src01_original-420p.avi,32,12.135,12.185
vqeghd1_src01_original-420p.avi,33,12.119,12.304
vqeghd1_src01_original-420p.avi,34,12.308,11.98
vqeghd1_src01_original-420p.avi,35,12.047,11.915
vqeghd1_src01_original-420p.avi,36,12.452,11.922
vqeghd1_src01_original-420p.avi,37,12.848,12.199
vqeghd1_src01_original-420p.avi,38,27.264,27.351
vqeghd1_src01_original-420p.avi,39,27.223,3.305
vqeghd1_src01_original-420p.avi,40,27.228,3.313
vqeghd1_src01_original-420p.avi,41,27.243,3.298
vqeghd1_src01_original-420p.avi,42,27.243,3.296
vqeghd1_src01_original-420p.avi,43,27.26,3.288
vqeghd1_src01_original-420p.avi,44,27.287,3.273
vqeghd1_src01_original-420p.avi,45,27.258,3.29
vqeghd1_src01_original-420p.avi,46,27.289,3.275
vqeghd1_src01_original-420p.avi,47,27.28,3.28
vqeghd1_src01_original-420p.avi,48,27.288,3.306
vqeghd1_src01_original-420p.avi,49,27.297,3.304
vqeghd1_src01_original-420p.avi,50,27.29,3.319
vqeghd1_src01_original-420p.avi,51,27.287,3.311
vqeghd1_src01_original-420p.avi,52,27.246,3.287
vqeghd1_src01_original-420p.avi,53,27.257,3.298
vqeghd1_src01_original-420p.avi,54,27.306,3.296
vqeghd1_src01_original-420p.avi,55,27.312,3.277
vqeghd1_src01_original-420p.avi,56,27.256,3.265
vqeghd1_src01_original-420p.avi,57,27.27,3.274
vqeghd1_src01_original-420p.avi,58,27.279,3.305
vqeghd1_src01_original-420p.avi,59,27.272,3.299
vqeghd1_src01_original-420p.avi,60,27.227,3.294
vqeghd1_src01_original-420p.avi,61,27.319,3.27
vqeghd1_src01_original-420p.avi,62,27.289,3.292
vqeghd1_src01_original-420p.avi,63,27.31,3.303
vqeghd1_src01_original-420p.avi,64,27.299,3.274
vqeghd1_src01_original-420p.avi,65,27.349,3.283
vqeghd1_src01_original-420p.avi,66,27.325,3.277
vqeghd1_src01_original-420p.avi,67,27.358,3.285
vqeghd1_src01_original-420p.avi,68,27.388,3.272
vqeghd1_src01_original-420p.avi,69,27.424,3.298
vqeghd1_src01_original-420p.avi,70,27.403,3.283
